Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD,Spend_ILS,Spend_AUD,Spend_TWD,Spend_BRL,Spend_ARS,Spend_ZAR,Spend_CLP
AR03565896047748186113,JON A WICKLIFFE,EIN ID 92-0694958,US,,8,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02059962934745890817,California Labor and Business Alliance (CLAB),EIN ID 84-3425731,US,,2,9300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR07543856549274320897,Friends of Joe Hogan,EIN ID 85-4020421,US,,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04330551203126575105,ALLIANCE FOR A BETTER VERMONT,EIN ID 83-0571921,US,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR13691418268546367489,GEORGIANS FOR A BRIGHTER FUTURE INC,EIN ID 83-2464283,US,,80,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09961593352153464833,"Sandoval Creative, INC",EIN ID 80-0011788,US,,7,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR03896089079015538689,CHESCO VICTORY,EIN ID 84-2388641,US,,8,4900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR01791943987494387713,MICHIGAN VOICES,EIN ID 83-0612165,US,,5,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR13554215744434077697,JR Ramirez For Texas,EIN ID 93-3463332,US,,2,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04431173009742495745,REPUBLICAN PARTY OF IOWA,EIN ID 42-0489295,US,,2,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02106327347224379393,TENNESSEE SENATE REPUBLICAN CAUCUS,EIN ID 87-4098005,US,,30,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12102700932223991809,JC Evans Inc,EIN ID 20-2989939,US,,21,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR18338288659062587393,SUSANA MENDOZA FOR MAYOR,EIN ID 83-2478018,US,,25,52300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10549266717878517761,FRIENDS OF DAVE FAWCETT,EIN ID 92-1443573,US,,8,38600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR03733334901106147329,SAVE AMERICA FUND,EIN ID 84-4075408,US,,1,62400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04239487897767510017,Corrie Ten Boom Fellowship,EIN ID 75-2671293,"AT, BE, BG, CZ, DE, DK, ES, FI, FR, GR, HR, IE, IT, LT, NL, PL, PT, RO, SE, SI, SK, US",,10,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR05565261185835597825,Advance Colorado,EIN ID 85-4192457,US,,5,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17010571193918423041,TERM LIMITS SUPERPAC,EIN ID 83-2072104,US,,24,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR11459884653184286721,Galluch for Congress,EIN ID 86-3460757,US,,11,22100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
