Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD,Spend_ILS,Spend_AUD,Spend_TWD,Spend_BRL,Spend_ARS,Spend_ZAR,Spend_CLP
AR03565896047748186113,JON A WICKLIFFE,EIN ID 92-0694958,US,,8,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12573206868559659009,Orden y Libertad,,AR,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160000,0,0
AR15365477704551890945,ELEICAO 2022 FABIANE BARBOSA DA SILVA DEPUTADO FEDERAL,,BR,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0
AR05629974935553179649,BRADLEY ROBERTS,,US,,3,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02059962934745890817,California Labor and Business Alliance (CLAB),EIN ID 84-3425731,US,,2,9300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR07363995722783391745,VICTOR ABREU,,US,,3,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR16856365306598129665,PRO PROPUESTA REPUBLICANA DISTRITO ENTRE RIOS,,AR,,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975000,0,0
AR06280128942879801345,Komitet Wyborczy Kandydata na Prezydenta Rzeczpospolitej Polskiej Roberta Biedronia,,"AT, BE, BG, CY, CZ, DE, DK, ES, FR, GR, HR, HU, IE, IT, LT, LU, LV, NL, PL, PT, SE, SI, SK",,23,0,2400,0,0,1500,500,0,10750,0,1000,0,0,0,0,0,0,0,0,0
AR09964071273405349889,DEBANDI JUAN AGUSTIN,,AR,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360000,0,0
AR07543856549274320897,Friends of Joe Hogan,EIN ID 85-4020421,US,,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02636709834950443009,"TEAM GRAHAM, INC.",FEC ID C00458828,US,,1893,5774200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR16752194345167224833,Studio MIKMIK s.r.o.,,"AT, CZ, DE, IT",,3,0,200,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR11403589657842155521,HONG FOR STATE HOUSE,Registered in US-GA C2019000768,US,,2,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04330551203126575105,ALLIANCE FOR A BETTER VERMONT,EIN ID 83-0571921,US,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR00955945577038741505,Marsden for Senate,Registered in US-VA CC1201232,US,,7,20600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR13691418268546367489,GEORGIANS FOR A BRIGHTER FUTURE INC,EIN ID 83-2464283,US,,80,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09255875387278229505,FRIENDS OF NICK FREITAS INC,FEC ID C00729335,US,,89,25500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR11492872956955066369,ELEICAO 2022 DOUGLAS ELIAS BELCHIOR DEPUTADO FEDERAL,,BR,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0
AR10903690099204030465,TED CRUZ FOR SENATE,FEC ID C00492785,US,,169,629700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09961593352153464833,"Sandoval Creative, INC",EIN ID 80-0011788,US,,7,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12299500766132961281,Derek Tran for Congress,FEC ID C00851790,US,,9,26100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR13325866111560843265,Boozman For Arkansas,FEC ID C00476317,US,,1,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR16976940431759638529,Friends of Neelam Gupta,Registered in US-OR 21105,US,,10,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
